Shot,FrameId
rail,200
rail,334
serve,526
rail,615
rail,661
rail,816
rail,904
rail,982
serve,1419
rail,1486
rail,1567
serve,1742
rail,1818
rail,1841
rail,1876
rail,1909
rail,1950
rail,1979
rail,2017
rail,2053
serve,2331
serve,2343
rail,2416
rail,2511
serve,2853
rail,2962
rail,3008
rail,3053
rail,3160
serve,3504
serve,3826
rail,3871
serve,4020
serve,4273
rail,4309
rail,4350
rail,4380
rail,4412
rail,4448
rail,4468
serve,4692
rail,4804
serve,5109
rail,5164
serve,5388
rail,5422
rail,5464
serve,5723
rail,5796
rail,5927
serve,6229
rail,6254
rail,6352
rail,6386
rail,6423
rail,6482
rail,6526
serve,6723
rail,6754
rail,6791
rail,6847
rail,6945
rail,7019
rail,7066
serve,7335
rail,7373
rail,7420
rail,7505
rail,7629
rail,7780
serve,8001
rail,8032
rail,8081
rail,8174
rail,8252
serve,8843
rail,8908
rail,8964
rail,9116
rail,9193
serve,10313
rail,10443
serve,10887
rail,11036
cross_court,12098
cross_court,12633
cross_court,12929
cross_court,13358
cross_court,13396
boast,14091
serve,15317
boast,15354
serve,15644
boast,15704
boast,15752
boast,15787
boast,15828
serve,16009
boast,16042
boast,16086
boast,16437
boast,16707
cross_court,16781
boast,16821
cross_court,16857
serve,17007
serve,17238
serve,17461
boast,17509
boast,17547
cross_court,17590
boast,17617
serve,17935
boast,17961
boast,17997
boast,18037
serve,18213
boast,18242
boast,18291
cross_court,18335
serve,18677
boast,18822
cross_court,18862
serve,19170
serve,19516
boast,19561
boast,19645
serve,19881
boast,19905
serve,20024
boast,20057
serve,20316
boast,20407
boast,20433
boast,20509
serve,20844
boast,20897
serve,21238
serve,21624
boast,21659
boast,21705
serve,22341
boast,22361
boast,22365
