Shot,FrameId
cross_court,4328
boast,4594
boast,4683
boast,4731
boast,4769
cross_court,4994
cross_court,5045
boast,5098
boast,5191
boast,5289
cross_court,5420
cross_court,5459
cross_court,5503
boast,5639
boast,6004
boast,6073
boast,6103
boast,6242
cross_court,6771
rail,6852
cross_court,6887
cross_court,6930
boast,7408
boast,7432
serve,7691
boast,7745
boast,7851
cross_court,7888
serve,8202
boast,8287
serve,8510
boast,8554
boast,8610
boast,8643
cross_court,8742
serve,9113
boast,9187
boast,9282
cross_court,9359
cross_court,9543
serve,9727
serve,10002
cross_court,10076
serve,10298
boast,10372
serve,10576
cross_court,10648
serve,10870
boast,10968
serve,11124
boast,11158
serve,11406
cross_court,11481
serve,11813
cross_court,11867
boast,11912
cross_court,11957
cross_court,12006
boast,12059
cross_court,12114
boast,12173
serve,12408
serve,12407
cross_court,12509
serve,12697
serve,12938
cross_court,13041
serve,13238
boast,13329
boast,13419
serve,13878
cross_court,13933
cross_court,13993
serve,14216
cross_court,14285
serve,14554
boast,14734
cross_court,14915
cross_court,14956
boast,15026
cross_court,15066
serve,15428
boast,15463
serve,15658
cross_court,15732
serve,16036
cross_court,16078
cross_court,16179
cross_court,16250
boast,16356
serve,16700
serve,16700
cross_court,16804
serve,17017
serve,17029
boast,17082
serve,17305
cross_court,17403
serve,17615
serve,17879
serve,18778
serve,19313
cross_court,19412
serve,19673
serve,20318
serve,21046
serve,21415
serve,21696
rail,21776
rail,21824
rail,21879
serve,22170
rail,22238
rail,22355
rail,22604
serve,23381
serve,24082
serve,24763
serve,25215
serve,25491
serve,26034
serve,26341
serve,26545
cross_court,26616
serve,27457
serve,27810
cross_court,27878
serve,28816
cross_court,29765
cross_court,29864
serve,30482
serve,30912
cross_court,31128
serve,31461
serve,31729
serve,33196
serve,33602
serve,34144
serve,36361
serve,36601
serve,36844
serve,37140
serve,37483
serve,37774
cross_court,37846
cross_court,37901
serve,38149
serve,38425
cross_court,38487
serve,39970
cross_court,40051
serve,40232
cross_court,40317
serve,40738
cross_court,41195
cross_court,42100
cross_court,42198
cross_court,42293
serve,43352
cross_court,43523
serve,43835
cross_court,43927
serve,44210
serve,44605
serve,45288
cross_court,45361
serve,45537
cross_court,45747
serve,46139
serve,46534
serve,46963
serve,48165
serve,48371
serve,48661
serve,49041
cross_court,49125
cross_court,49489
boast,50029
serve,51426
boast,51508
boast,51582
cross_court,51776
serve,52846
cross_court,53654
